id,log
10,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,kişi sayısı=4,yer=anadolu yakası)', 'S: iste(mutfak)', 'K: tekrar_sor()', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=çin,gün=pazartesi,saat=12)', 'S: teklif_et(restoran=charlie chan,restoran=rice house,restoran=the lucky star)', 'K: alternatif_sor()', 'S: teklif_et(restoran=hakka,restoran=golden wok,restoran=shanghai family restaurant)', 'K: seç(restoran=hakka)', 'S: onaylandı(hakka)', 'K: iste(telefon_no)', 'S: bilgilendir(telefon_no=02167572707)', 'K: veda_et()', 'S: veda_et()']",1621
11,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=pazartesi,yer=anadolu yakası,fiyat=ucuz,saat=16)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=çin,kişi sayısı=3)', 'S: teklif_et(restoran=rice house,restoran=the lucky star)', 'K: seç(restoran=the lucky star)', 'S: onaylandı(the lucky star)', 'K: veda_et()', 'S: veda_et()']",1622
12,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=pazartesi,kişi sayısı=2,fiyat=pahalı,mutfak=akdeniz)', 'S: teklif_et(restoran=la mimosa,restoran=shiraz restaurant)', 'K: seç(restoran=la mimosa)', 'S: onaylandı(la mimosa)', 'K: veda_et()', 'S: veda_et()']",1623
13,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,yer=fark etmez,gün=pazartesi)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=çin)', 'S: iste(kişi sayısı)', 'K: bilgilendir(kişi sayısı=1,fiyat=orta)', 'S: teklif_et(restoran=jinling noodle bar,restoran=golden wok,restoran=shanghai family restaurant)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: seç(restoran=golden wok)', 'S: onaylandı(golden wok)', 'K: veda_et()', 'S: veda_et()']",1624
14,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,fiyat=pahalı,mutfak=hint,kişi sayısı=4)', 'S: iste(yer)', 'K: tekrar_sor()', 'S: iste(yer)', 'K: bilgilendir(yer=avrupa yakası,gün=pazartesi)', 'S: iste(saat)', 'K: bilgilendir(saat=12)', 'S: teklif_et(restoran=cocum,restoran=rice boat,restoran=pipasha restaurant)', 'K: alternatif_sor()', 'S: teklif_et(restoran=saffron brasserie,restoran=curry queen,restoran=sitar tandoori)', 'K: seç(restoran=curry queen)', 'S: onaylandı(curry queen)', 'K: veda_et()', 'S: veda_et()']",1625
15,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,saat=15,fiyat=pahalı)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=ingiliz,yer=fark etmez,kişi sayısı=4)', 'S: iste(gün)', 'K: bilgilendir(gün=pazartesi)', 'S: teklif_et(restoran=fitzbillies restaurant,restoran=graffiti,restoran=grafton hotel restaurant)', 'K: alternatif_sor()', 'S: teklif_et(restoran=travellers rest,restoran=the cambridge chop house,restoran=midsummer house restaurant)', 'K: seç(restoran=midsummer house restaurant)', 'S: onaylandı(midsummer house restaurant)', 'K: iste(telefon_no)', 'S: bilgilendir(telefon_no=02167886155)', 'K: veda_et()', 'S: veda_et()']",1626
16,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=pazartesi)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=doğu asya,fiyat=pahalı)', 'S: teklif_et(restoran=saigon city)', 'K: seç(restoran=saigon city)', 'S: onaylandı(saigon city)', 'K: iste(telefon_no)', 'S: bilgilendir(telefon_no=02125464662)', 'K: veda_et()', 'S: veda_et()']",1627
17,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,fiyat=orta,kişi sayısı=2,gün=pazartesi,mutfak=çin,saat=18)', 'S: teklif_et(restoran=jinling noodle bar,restoran=golden wok,restoran=shanghai family restaurant)', 'K: reddet()', 'S: veda_et()']",1628
18,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,kişi sayısı=4,gün=pazartesi,fiyat=ucuz,yer=anadolu yakası)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=ispanyol,saat=fark etmez)', 'S: teklif_et(restoran=la raza)', 'K: seç(restoran=la raza)', 'S: onaylandı(la raza)', 'K: iste(telefon_no,puan)', 'S: bilgilendir(telefon_no=0216129444,puan=4)', 'K: veda_et()', 'S: veda_et()']",1629
19,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,saat=19,yer=anadolu yakası,gün=pazartesi)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=kore,kişi sayısı=3)', 'S: teklif_et(restoran=backstreet bistro)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: veda_et()', 'S: veda_et()']",1630
20,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=pazartesi,mutfak=fark etmez,yer=anadolu yakası)', 'S: iste(kişi sayısı)', 'K: bilgilendir(kişi sayısı=2,fiyat=orta)', 'S: iste(saat)', 'K: bilgilendir(saat=20)', 'S: teklif_et(restoran=pizza hut cherry hinton,restoran=curry prince,restoran=pizza express)', 'K: seç(restoran=curry prince)', 'S: onaylandı(curry prince)', 'K: veda_et()', 'S: veda_et()']",1631
21,"['S: iste(amaç)', 'K: tekrar_sor()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,saat=16)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=akdeniz)', 'S: teklif_et(restoran=la mimosa,restoran=shiraz restaurant)', 'K: seç(restoran=shiraz restaurant)', 'S: onaylandı(shiraz restaurant)', 'K: veda_et()', 'S: veda_et()']",1632
22,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,fiyat=fark etmez,gün=pazartesi,yer=avrupa yakası,kişi sayısı=2,saat=14)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=hint)', 'S: teklif_et(restoran=cocum,restoran=rice boat,restoran=the nirala)', 'K: alternatif_sor()', 'S: teklif_et(restoran=pipasha restaurant,restoran=royal spice,restoran=the gandhi)', 'K: reddet()', 'S: veda_et()']",1633
23,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=pazartesi,saat=16,yer=avrupa yakası)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=akdeniz,kişi sayısı=1,fiyat=fark etmez)', 'S: teklif_et(restoran=the gardenia,restoran=la mimosa,restoran=shiraz restaurant)', 'K: seç(restoran=shiraz restaurant)', 'S: onaylandı(shiraz restaurant)', 'K: veda_et()', 'S: veda_et()']",1634
24,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,mutfak=uluslararası,yer=avrupa yakası)', 'S: teklif_et(restoran=the missing sock,restoran=the varsity restaurant)', 'K: seç(restoran=the varsity restaurant)', 'S: onaylandı(the varsity restaurant)', 'K: iste(telefon_no)', 'S: bilgilendir(telefon_no=02122846882)', 'K: iste(puan)', 'S: bilgilendir(puan=3)', 'K: veda_et()', 'S: veda_et()']",1635
25,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,saat=17,kişi sayısı=3)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=avrupa,fiyat=pahalı,gün=pazartesi)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası)', 'S: teklif_et(restoran=eraina,restoran=city stop restaurant,restoran=cambridge lodge restaurant)', 'K: seç(restoran=city stop restaurant)', 'S: onaylandı(city stop restaurant)', 'K: iste(telefon_no,puan)', 'S: bilgilendir(telefon_no=02161343143,puan=4)', 'K: veda_et()', 'S: veda_et()']",1636
26,"['K: tekrar_sor()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,fiyat=pahalı,saat=15)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=ingiliz,kişi sayısı=4)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası,gün=fark etmez)', 'S: teklif_et(restoran=graffiti,restoran=grafton hotel restaurant,restoran=the cambridge chop house)', 'K: reddet()', 'S: veda_et()']",1637
27,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,mutfak=çin,kişi sayısı=4,saat=12)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası)', 'S: iste(gün)', 'K: bilgilendir(gün=pazartesi,fiyat=ucuz)', 'S: teklif_et(restoran=charlie chan,restoran=rice house,restoran=the lucky star)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: seç(restoran=the lucky star)', 'S: onaylandı(the lucky star)', 'K: veda_et()', 'S: veda_et()']",1638
28,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,mutfak=fark etmez,fiyat=ucuz,saat=15)', 'S: iste(yer)', 'K: bilgilendir(yer=avrupa yakası,kişi sayısı=1)', 'S: iste(gün)', 'K: bilgilendir(gün=pazartesi)', 'S: teklif_et(restoran=the missing sock,restoran=ask restaurant,restoran=thanh binh)', 'K: seç(restoran=ask restaurant)', 'S: onaylandı(ask restaurant)', 'K: iste(telefon_no)', 'S: bilgilendir(telefon_no=0212876674)', 'K: iste(puan)', 'S: bilgilendir(puan=5)', 'K: veda_et()', 'S: veda_et()']",1639
29,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,mutfak=fark etmez,gün=pazartesi,fiyat=orta,kişi sayısı=fark etmez)', 'S: iste(yer)', 'K: bilgilendir(yer=avrupa yakası,saat=15)', 'S: teklif_et(restoran=restaurant alimentum,restoran=jinling noodle bar,restoran=the varsity restaurant)', 'K: seç(restoran=restaurant alimentum)', 'S: onaylandı(restaurant alimentum)', 'K: veda_et()', 'S: veda_et()']",1640
30,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,fiyat=fark etmez,gün=pazartesi)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=hint,kişi sayısı=4,saat=18)', 'S: iste(yer)', 'K: bilgilendir(yer=avrupa yakası)', 'S: teklif_et(restoran=cocum,restoran=rice boat,restoran=the nirala)', 'K: alternatif_sor()', 'S: teklif_et(restoran=pipasha restaurant,restoran=royal spice,restoran=the gandhi)', 'K: seç(restoran=royal spice)', 'S: onaylandı(royal spice)', 'K: iste(telefon_no)', 'S: bilgilendir(telefon_no=02123152351)', 'K: iste(puan)', 'S: bilgilendir(puan=4)', 'K: veda_et()', 'S: veda_et()']",1641
31,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,saat=19,fiyat=fark etmez,gün=pazartesi)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=hint,kişi sayısı=2)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası)', 'S: teklif_et(restoran=curry garden,restoran=taj tandoori,restoran=curry prince)', 'K: reddet()', 'S: veda_et()']",1642
32,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=pazartesi)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=gastropub,saat=19)', 'S: teklif_et(restoran=the cow pizza kitchen and bar,restoran=the slug and lettuce,restoran=royal standard)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: veda_et()', 'S: veda_et()']",1643
33,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,kişi sayısı=4,mutfak=doğu asya,gün=pazartesi,fiyat=ucuz,saat=18)', 'S: teklif_et(restoran=dojo noodle bar,restoran=j restaurant)', 'K: reddet()', 'S: veda_et()']",1644
34,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=pazartesi,fiyat=pahalı,saat=16)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=çin,kişi sayısı=1)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası)', 'S: teklif_et(restoran=hakka,restoran=sesame restaurant and bar)', 'K: reddet()', 'S: veda_et()']",1645
35,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,kişi sayısı=1,fiyat=pahalı,yer=avrupa yakası)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=çin,gün=pazartesi)', 'S: iste(saat)', 'K: bilgilendir(saat=16)', 'S: teklif_et(restoran=the good luck çin food takeaway,restoran=yu garden,restoran=ugly duckling)', 'K: alternatif_sor()', 'S: teklif_et(restoran=peking restaurant,restoran=the hotpot,restoran=tang çin)', 'K: seç(restoran=the hotpot)', 'S: onaylandı(the hotpot)', 'K: iste(telefon_no,puan)', 'S: bilgilendir(telefon_no=02127359953,puan=3)', 'K: veda_et()', 'S: veda_et()']",1646
36,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,fiyat=orta,gün=pazartesi,mutfak=türk,saat=12)', 'S: teklif_et(restoran=anatolia,restoran=efes restaurant)', 'K: seç(restoran=anatolia)', 'S: onaylandı(anatolia)', 'K: veda_et()', 'S: veda_et()']",1647
37,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=pazartesi,mutfak=hint,saat=14)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası,fiyat=fark etmez)', 'S: iste(kişi sayısı)', 'K: bilgilendir(kişi sayısı=4)', 'S: teklif_et(restoran=curry garden,restoran=taj tandoori,restoran=curry prince)', 'K: seç(restoran=taj tandoori)', 'S: onaylandı(taj tandoori)', 'K: veda_et()', 'S: veda_et()']",1648
38,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,yer=avrupa yakası)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=avrupa,saat=16)', 'S: teklif_et(restoran=michaelhouse cafe,restoran=hotel du vin and bistro)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: tekrar_sor()', 'S: bilgilendir(işlem başarısız)', 'K: seç(restoran=michaelhouse cafe)', 'S: onaylandı(michaelhouse cafe)', 'K: iste(telefon_no)', 'S: bilgilendir(telefon_no=0212106713)', 'K: iste(puan)', 'S: bilgilendir(puan=4)', 'K: veda_et()', 'S: veda_et()']",1649
39,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=fark etmez)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=fark etmez,saat=18)', 'S: iste(yer)', 'K: bilgilendir(yer=avrupa yakası)', 'S: iste(kişi sayısı)', 'K: bilgilendir(kişi sayısı=2)', 'S: teklif_et(restoran=the missing sock,restoran=the good luck çin food takeaway,restoran=restaurant alimentum)', 'K: seç(restoran=the missing sock)', 'S: onaylandı(the missing sock)', 'K: veda_et()', 'S: veda_et()']",1650
40,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,mutfak=lübnan,fiyat=orta,gün=pazartesi)', 'S: teklif_et(restoran=ali baba)', 'K: reddet()', 'S: veda_et()']",1651
41,"['K: selam_ver()', 'S: iste(amaç)', 'K: tekrar_sor()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,kişi sayısı=3)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=italyan)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası,gün=pazartesi)', 'S: iste(saat)', 'K: bilgilendir(saat=12)', 'S: teklif_et(restoran=pizza hut city centre,restoran=pizza hut cherry hinton,restoran=stazione restaurant and coffee bar)', 'K: alternatif_sor()', 'S: teklif_et(restoran=pizza express,restoran=prezzo,restoran=da vinci pizzeria)', 'K: seç(restoran=pizza express)', 'S: onaylandı(pizza express)', 'K: iste(telefon_no)', 'S: bilgilendir(telefon_no=02169563064)', 'K: veda_et()', 'S: veda_et()']",1652
42,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,mutfak=çin)', 'S: iste(yer)', 'K: bilgilendir(yer=avrupa yakası,kişi sayısı=4,saat=17)', 'S: iste(gün)', 'K: bilgilendir(gün=pazartesi)', 'S: teklif_et(restoran=the good luck çin food takeaway,restoran=yu garden,restoran=jinling noodle bar)', 'K: alternatif_sor()', 'S: teklif_et(restoran=ugly duckling,restoran=lan hong house,restoran=golden house)', 'K: seç(restoran=golden house)', 'S: onaylandı(golden house)', 'K: iste(telefon_no)', 'S: bilgilendir(telefon_no=02121868261)', 'K: iste(puan)', 'S: bilgilendir(puan=4)', 'K: tekrar_sor()', 'S: bilgilendir(puan=4)', 'K: veda_et()', 'S: veda_et()']",1653
43,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,yer=anadolu yakası,gün=pazartesi,mutfak=ingiliz)', 'S: iste(kişi sayısı)', 'K: bilgilendir(kişi sayısı=4,fiyat=orta)', 'S: teklif_et(restoran=restaurant one seven,restoran=the oak bistro,restoran=cotto)', 'K: seç(restoran=restaurant one seven)', 'S: onaylandı(restaurant one seven)', 'K: iste(telefon_no,puan)', 'S: bilgilendir(telefon_no=02164174014,puan=4)', 'K: veda_et()', 'S: veda_et()']",1654
44,"['S: iste(amaç)', 'K: tekrar_sor()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,fiyat=orta)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=italyan)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası)', 'S: iste(kişi sayısı)', 'K: bilgilendir(kişi sayısı=1)', 'S: iste(gün)', 'K: bilgilendir(gün=pazartesi)', 'S: iste(saat)', 'K: bilgilendir(saat=17)', 'S: teklif_et(restoran=pizza hut cherry hinton,restoran=pizza express,restoran=prezzo)', 'K: alternatif_sor()', 'S: teklif_et(restoran=pizza hut fen ditton)', 'K: reddet()', 'S: veda_et()']",1655
45,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,yer=avrupa yakası,gün=pazartesi,fiyat=pahalı,mutfak=gastropub)', 'S: teklif_et(restoran=the slug and lettuce,restoran=royal standard)', 'K: tekrar_sor()', 'S: teklif_et(restoran=the slug and lettuce,restoran=royal standard)', 'K: seç(restoran=the slug and lettuce)', 'S: onaylandı(the slug and lettuce)', 'K: veda_et()', 'S: veda_et()']",1656
46,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,saat=20,gün=fark etmez,kişi sayısı=4)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=hint,fiyat=ucuz)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası)', 'S: teklif_et(restoran=kohinoor,restoran=mahal of cambridge)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: veda_et()', 'S: veda_et()']",1657
47,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,saat=15,gün=pazartesi,fiyat=pahalı)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=çin,yer=avrupa yakası,kişi sayısı=4)', 'S: teklif_et(restoran=the good luck çin food takeaway,restoran=yu garden,restoran=ugly duckling)', 'K: alternatif_sor()', 'S: teklif_et(restoran=peking restaurant,restoran=the hotpot,restoran=tang çin)', 'K: seç(restoran=peking restaurant)', 'S: onaylandı(peking restaurant)', 'K: iste(telefon_no,puan)', 'S: bilgilendir(telefon_no=02129091031,puan=4)', 'K: veda_et()', 'S: veda_et()']",1658
48,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,fiyat=pahalı,kişi sayısı=2,gün=pazartesi,mutfak=çin)', 'S: iste(yer)', 'K: bilgilendir(yer=avrupa yakası)', 'S: iste(saat)', 'K: bilgilendir(saat=12)', 'S: teklif_et(restoran=the good luck çin food takeaway,restoran=yu garden,restoran=ugly duckling)', 'K: reddet()', 'S: veda_et()']",1659
49,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=pazartesi,saat=18,fiyat=orta,mutfak=modern avrupa)', 'S: teklif_et(restoran=restaurant alimentum,restoran=de luca cucina and bar,restoran=riverside brasserie)', 'K: seç(restoran=restaurant alimentum)', 'S: onaylandı(restaurant alimentum)', 'K: veda_et()', 'S: veda_et()']",1660
50,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,saat=15,gün=pazartesi,mutfak=ispanyol)', 'S: teklif_et(restoran=la tasca,restoran=la raza)', 'K: seç(restoran=la tasca)', 'S: onaylandı(la tasca)', 'K: veda_et()', 'S: veda_et()']",1661
51,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,kişi sayısı=fark etmez)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=ingiliz,yer=avrupa yakası)', 'S: iste(gün)', 'K: bilgilendir(gün=pazartesi,fiyat=pahalı)', 'S: teklif_et(restoran=fitzbillies restaurant,restoran=travellers rest)', 'K: tekrar_sor()', 'S: teklif_et(restoran=fitzbillies restaurant,restoran=travellers rest)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: seç(restoran=travellers rest)', 'S: onaylandı(travellers rest)', 'K: veda_et()', 'S: veda_et()']",1662
52,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,kişi sayısı=4,fiyat=pahalı)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=fark etmez)', 'S: iste(yer)', 'K: bilgilendir(yer=avrupa yakası)', 'S: iste(gün)', 'K: bilgilendir(gün=pazartesi)', 'S: iste(saat)', 'K: bilgilendir(saat=14)', 'S: teklif_et(restoran=the good luck çin food takeaway,restoran=yu garden,restoran=chiquito restaurant bar)', 'K: seç(restoran=the good luck çin food takeaway)', 'S: onaylandı(the good luck çin food takeaway)', 'K: iste(telefon_no)', 'S: bilgilendir(telefon_no=02129685117)', 'K: iste(puan)', 'S: bilgilendir(puan=4)', 'K: veda_et()', 'S: veda_et()']",1663
53,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,fiyat=orta,gün=pazartesi)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=uluslararası,saat=17)', 'S: teklif_et(restoran=the varsity restaurant,restoran=bloomsbury restaurant)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: veda_et()', 'S: veda_et()']",1664
