info;
"{""id"":""SNG0494.json"",""log"":[""Kuzeyde pahalı yemekleri olan bir restoran istiyorum."",""Beş yer var, hangi yemek türünü tercih ediyorsunuz?"",""Beni şaşırt, arkadaşlarımı etkilemek için pahalı bir yer istiyorum. Yedi kişilik bir parti olacak."",""Beş restoran buldum, hangi gün ve saatte gitmek istersiniz?"",""Pazartesi saat 19:15 nasıl"",""Tamam. Size oldukça zarif ve Asya mutfağı servis eden Saigon City'de yer ayırttım. Referans numaranız J8IGNS09."",""Çok teşekkür ederim. Bugün ihtiyacım olan şey buydu. İyi akşamlar."",""Teşekkür ederim, restoranın adresini ister misiniz?"",""İhtiyacım olduğunu düşünmüyorum, ama sorduğun için teşekkürler. İyi günler."",""Rica ederim. İyi günler. Güle güle.""]}";
"{""id"":""WOZ20531.json"",""log"":[""Jamaika yemekleri sunan şehrin güney kısmında bir restoran arıyorum."",""Üzgünüm ama güneyde bulunan herhangi bir Jamaika restoranı bulamadım."",""Şehrin herhangi bir yerinde herhangi bir Jamaika restoranı var mı?"",""Maalesef yok. Farklı bir mutfakla ilgilenir misiniz?"",""Portekiz yemeği var mıdır?"",""Nandos, Cambridge Leisure Park Clifton Way'in güney tarafında yer alıyor ve telefon numarası 01223 327908."",""Harika, teşekkürler!\n"",""Teşekkür ederim, güle güle.""]}";
"{""id"":""WOZ20274.json"",""log"":[""Şehirde ucuz bir İsveç restoranı var mı?"",""Bu tercihlere uyan restoran bulamadım. Farklı bir restoran ister misiniz?"",""Akdeniz yemekleri servis eden bir tane var mı?"",""Şehrin merkezinde ucuz bir Akdeniz restoranı var. Restoranın adı Gardenia."",""Kulağa hoş geliyor. Telefon numarası ve posta kodu nedir?"",""Gardenia C.B 2, 3 L.L. posta kodlu bölgede ve telefon numaraları 01223 356354."",""Teşekkür ederim!\n"",""Rica ederim, yardımcı olabileceğim başka bir şey var mı?\n"",""Teşekkürler güle güle."",""Güle güle.""]}";
"{""id"":""SNG0524.json"",""log"":[""Şehir merkezinde orta fiyatlı bir restoran arıyorum."",""21 tane restoran buldum, tercih ettiğiniz bir yemek türü var mı?"",""Lübnan yemeği istiyorum.\n"",""Ali Baba nasıl? Bu restoranı öneririm. Bir masa ayırtmamı ister misiniz?"",""Evet, Perşembe günü 20:00'da 3 kişilik bir masa ayırtmak istiyorum."",""Harika, perşembe günü için 20:00 de 3 kişilik rezervasyon yaptım. Referans numaranız 5LY9WSF1. Başka bir konuda yardımcı olabilir miyim?"",""Hayır, bu kadar. Teşekkür ederim!"",""Cambridge Townİnfo hizmetini kullandığınız için teşekkür ederiz ve harika bir gün dileriz!""]}";
"{""id"":""SSNG0187.json"",""log"":[""Merkezde modern Avrupa yemekleri sunan bir restoran arıyorum."",""4 restoran buldum. Hangi fiyat aralığında istersiniz?"",""Pahalı fiyat aralığında bir yer lütfen."",""Darry's Cookhouse ve şarap dükkanı ilgi alanlarınıza uygun olacaktır. 40270 King Sokağı'nda"",""Salı günü saat 16: 30'da 7 kişi için rezervasyon için uygunlar mı?"",""O anda uygunluk yok gibi görünüyor. Başka bir restoran denememi ister misin?"",""Bölgede o fiyat aralığında mevcut olan başka bir restoran var mı?"",""Tamam, sana Bedouin’de bir masa buldum. Masa 15 dakika boyunca rezerve edilecektir. Referans numaranız: Q7R6ZVRE. Yardımcı olmamı istediğiniz başka bir şey var mı?"",""Hayır, teşekkürler. Teşekkür ederim ve güle güle"",""Tamam rica ederim. Aradığınız için teşekkür ederim.""]}";
"{""id"":""SSNG0007.json"",""log"":[""Merkezde Çin yemeği sunan bir yer arıyorum."",""İsteğinizle eşleşen 10 restoran var. İstediğiniz bir fiyat aralığı var mı?"",""Hayır, farketmez."",""Belirli sayıda yıldıza sahip olmasını ister misiniz?"",""Hayır sadece merkezinde bir Çinli yerde rezervasyon yap. Çarşamba günü saat 15: 00'te 4 kişilik bir masaya ihtiyacım var."",""Jinling Noodle bar'da buldum, referans numaranız OCNH3CJJ. İhtiyacınız olan başka bir şey var mı?"",""Hayır bu kadar. Teşekkür ederim."",""İyi günler dilerim.""]}";
"{""id"":""WOZ20497.json"",""log"":[""\nMerhaba, Kanton yemekleri sunan pahalı bir restoran arıyorum."",""Üzgünüm, kanton yemekleri sunan pahalı bir restoran yok. Başka bir yer aramak ister misiniz?"",""Evet. Pahalı bir Tayland restoranı da iyi olurdu."",""Bangkok city Tayland yemeği servis ediyor ve pahalı fiyat aralığında."",""Harika, bana adresini ve telefon numarasını verebilir misin?"",""Bangkok City 24 Green street city'de ve telefon numarası 01223 354382."",""Peki posta kodu nedir?"",""Posta kodu C.B. 1 7 D.Y\n"",""Teşekkürler, güle güle"",""Teşekkür ederim, iyi günler, afiyet olsun.""]}";
"{""id"":""WOZ20358.json"",""log"":[""İtalyan yemekleri sunan pahalı bir restoran arıyorum."",""İtalyan mutfağı sunan 5 pahalı restoran var, hangi bölgede arıyorsunuz?"",""Umurumda değil"",""Caffe Uno şehir merkezinde yer almaktadır."",""Adresi ve telefon numarası alabilir miyim lütfen?"",""Caffe Uno telefon numarası 01223 448620 ve adresi 32 Bridge Street Şehir Merkezi."",""Teşekkürler, güle güle"",""İyi akşamlar. ""]}";
"{""id"":""SSNG0019.json"",""log"":[""Batı tarafında bir Tayland restoranı arıyorum."",""Sala thong batı tarafında bulunan pahalı bir Tayland restoranı. Senin için rezervasyon yaptırmamı ister misin?"",""Evet, lütfen. Pazar günü 5 kişi için rezerve edebilir misin?"",""Evet tabii ki. Saat kaçta rezervasyon yapmamı istiyorsunuz?"",""13:00 için bir masa istiyorum."",""Rezervasyon yapamadım, farklı bir zaman ya da farklı bir restoran denememi ister misiniz?"",""Evet, bana batı tarafında aynı fiyat aralığında başka bir restoran öner lütfen."",""Cocum'a ne dersin? Batı tarafında pahalı bir Hint restoranı."",""Tamam, bu iyi olur. Bana referans numarasını gönderir misiniz?"",""Tamam. Masanızı rezerve ettim. Referans numaranız WS8R5J04. Size yardımcı olabileceğim başka bir şey var mı?"",""Hayır, teşekkür ederim, şerefe."",""Teşekkür ederim, eğer başka herhangi bir şeye ihtiyacınız olursa haber verin. Güle güle. ""]}";
"{""id"":""WOZ20658.json"",""log"":[""Japon yemekleri servis eden bir restoran arıyorum. Fiyat aralığı önemli değil."",""Japon yemekleri servis edilen bir restoran bulamadım. Farklı bir tür yemek ister misin?"",""Bölgede Çin yemeği sunan bir yer var mı?"",""Şehir merkezinde charlie chan var"",""Charlie Chan'in adres ve telefon numarasını öğrenebilir miyim?"",""Adresi 2 Regent Street Şehir Merkezi, posta kodu C. B, D. B, 1, ve telefon numarasını 01223 361763."",""Teşekkür ederim. Gerekli olan tüm bilgileri aldım. Güle güle."",""Teşekkür ederim.""]}";
"{""id"":""WOZ20481.json"",""log"":[""Şehrin kuzey kesiminde orta fiyatlı bir restoran istiyorum."",""Golden Wok şehrin kuzey kesiminde ve ortalama fiyat aralığına sahip. Adresi 191 Histon Road Chesterton."",""Şehrin kuzeyinde ortalama fiyat aralığında başka bir şey var mı?"",""Evet, nirala orta fiyat aralığa sahip ve Kuzeyde bir Hint Restoranı. 7 milton road chesterton adresinde ve telefon numarası 01223 360966. Size yardım edebileceğim başka bir şey var mı?"",""Hayır, teşekkür ederim. Tüm ihtiyacım bu."",""İyi günler!""]}";
"{""id"":""WOZ20478.json"",""log"":[""Kore yemekleri servis eden bir restoran arıyorum."",""Sadece little seoul denilen bir Kore restoranı var."",""Adres, telefon numarası ve posta kodu nedir?"",""Little Seoul'un adresi 108 Regent Street Şehir Merkezi, telefon numarası 01223 308681 ve posta kodu C.B 2, 1 D.P. Yardımcı olmamı istediğiniz başka bir şey var mı?"",""Teşekkür ederim, Bu harika."",""Teşekkür ederim, güle güle. ""]}";
"{""id"":""WOZ20576.json"",""log"":[""Şehrin güney kesiminde orta fiyatlı bir restoran istiyorum"",""İki restoran mevcut. Pizza Hut Cherry Hinton ve Restoran Alimentum."",""Ne tür yemekler sunuyorlar?"",""Pizza Hut Cherry Hinton İtalyan, Restaurant Alimentum ise Modern Avrupa restoranıdır. İkisinden biri hakkında bilgi ister misiniz?"",""Evet, Pizza Hut Cherry Hinton için adres ve telefon numarası öğrenebilir miyim?"",""Pizza hut cherry hinton için adres G4 Cambridge Leisure Park Clifton Yol Cherry Hinton ve telefon numarası 01223 323737."",""Ne tür yemek servis ediyorlar?"",""İtalyan yemeği sunuyorlar. Size başka nasıl yardımcı olabilirim?\n"",""Teşekkürler güle güle sana."",""Güle güle"",""Tekrar güle güle.\n"",""Güle güle.""]}";
"{""id"":""SNG01172.json"",""log"":[""Orta fiyatlı bir restoranda yemek yemek istiyorum."",""Ne tür yemek istiyorsunuz?"",""Belçikalı lütfen, son zamanlarda özlüyorum"",""Biraz daha bilgi gerekli. Nerede yemek istersiniz?"",""Şehir merkezini tercih ederim, lütfen."",""Hayır, merkezde herhangi bir restoran bulamadım.\n"",""Hmm .. Başka bir bölge olur mu?"",""Üzgünüm ama merkezde Belçikalı bir yer yok. Farklı bir bölge deneyebilir miyim?"",""Neden türk yemeği denemiyoruz"",""Şehir merkezinde iki Türk restoranı var. Efe restoran ve Anadolu."",""Her ikisi de olabilir. Salı günü saat 20: 00'de 1 rezervasyon yapabilir misiniz?"",""Üzgünüm, her ikisi de tercih ettiğiniz zaman ve gün boyunca dolu gibi görünüyor. Başka bir şey denemek ister misiniz?"",""Evet 19:00 dene ve bana referans numarasını ver."",""Efes Restaurant'ta rezervasyon başarılı oldu. Masa 15 dakika boyunca rezerve edilecektir. Referans numarası: QXZ05J29."",""Çok teşekkürler! Yardımcı oldun.\n"",""İyi günler"",""Size de iyi günler."",""Teşekkür ederim. Afiyet olsun.""]}";
"{""id"":""SNG0464.json"",""log"":[""Yaratıcı yemekler sunan ucuz bir restorana ihtiyacım var."",""Bunlardan hiçbirini bulamadığımı söylemek üzücü. Aramayı genişletmek ister misiniz?"",""Yaratıcı yiyecekler sunan herhangi bir restoran var mı peki."",""Üzgünüm, hiç yaratıcı restoran bulamadım. Farklı bir mutfak denemek ister misiniz?"",""Tamam, peki Kuzey bölgesinde neler var?"",""Kuzey bölgesinde yemek için birkaç iyi seçenek var. Fiyat aralığı için bir tercihiniz var mı?"",""Ucuz bir Hint restoranına var mı?"",""Kuzeyde ucuz bir Hint restoranı olan Royal Spice var. Rezervasyon yaptırmak ister misiniz?"",""Hayır, ben yapabilirim. Bana telefon numarasını verebilir misiniz? Ayrıca, posta kodu ile adresini de?"",""Tabi. Numarası 01733553355.\n"",""Peki posta kodu ve adresi nedir?"",""Victoria Avenue Chesterton'da. Posta kodu cb41eh'dir. İhtiyacınız olan başka bir şey var mı?"",""Hayır, hepsi bu. Teşekkür ederim!\n"",""Rica ederim. İyi günler""]}";
"{""id"":""WOZ20406.json"",""log"":[""Brezilya yemekleri servis eden şehrin kuzey kısmında bir restoran arıyorum."",""Bu istek için eşleşen kayıt bulunamadı"",""Peki ya İspanyol veya Portekiz yemeklerine ne dersin?"",""Bu istek için bulunan eşleşen kayıt yok."",""Şehrin kuzey kısmında Hint yemeği denemek istiyorum."",""Royal Spice, şehrin kuzeyinde bir Hint restoranı ve ucuz fiyat aralığında."",""Telefon numarası ve adresini alabilir miyim."",""Telefon numaraları 01733 553355 ve adresleri Victoria Avenue Chesterton C.B 4, 1 E.H"",""Teşekkür ederim. güle güle."",""Cambridge Restoran Telefon Sistemini kullandığınız için teşekkür ederiz. Afiyet olsun!""]}";
"{""id"":""WOZ20107.json"",""log"":[""Şehir merkezinde Vietnam yemekleri sunan bir restoran arıyorum."",""Bir Vietnam restoranı var ama şehrin Batı ucunda. Bu sizin için uygun mu?"",""Şehir merkezinde kalmayı tercih ederim. Türk restoranı var mı?"",""Evet orta ve pahalı fiyat aralığında şehir merkezinde Türk yemek servisi yapan 3 restoran var. Hangi fiyat aralığını tercih edersiniz?"",""Fiyat aralığını önemsemiyorum."",""Anatolia şehir merkezinde Türk yemekleri sunmaktadır. Telefon numarasını ister misiniz?"",""Bana adresini verebilir misin?"",""Anatolia 30 Street Şehir Merkezinde yer almaktadır. Başka bir bilgi ister misiniz?"",""Anatolia'nın fiyat aralığı nedir"",""Anatolia orta fiyat aralığında"",""Teşekkürler güle güle"",""Teşekkürler ve iyi günler!""]}";
"{""id"":""WOZ20224.json"",""log"":[""Avrupa yemekleri sunan bir restoran bulmak istiyorum ve fiyat aralığı umurumda değil."",""Avrupa yemekleri sunan beş yer var. Fiyat aralığı tercihiniz nedir?"",""Orta fiyat aralığı lütfen. Ayrıca mekanın adresini ve telefon numarasını alabilir miyim?"",""galleria şehrin orta fiyat aralığında bir Avrupa restoranı ve şehrin merkezinde, adresi 33 street ve telefon numarasını 01223 356666"",""Teşekkür ederim, iyi günler"",""Rica ederim. İyi akşamlar.""]}";
"{""id"":""SNG0689.json"",""log"":[""Şehre doğru İngiliz yemekleri sunan herhangi bir restoran var mı?"",""Evet epeyce var. Şehrin hangi kısmını tercih edersiniz?\n"",""Batı, mümkünse."",""Üç tane var: Graffiti, Saint John's Chop House ve Traveller's Rest."",""Bana Graffiti'nin telefon numarasını, adresini ve posta kodunu verir misiniz?"",""Evet, telefon numarası 01223277977. Adres Hotel Felix Whitehouse Lane Huntingdon Road, posta kodu cb30lx. Rezervasyon yapmak ister misiniz?"",""Hayır, teşekkür Ederim. Bu kadarı yeterli.\n"",""Rica ederim, yardım etmekten memnunum. İyi günler!""]}";
"{""id"":""SNG02210.json"",""log"":[""I'd like to find an expensive restaurant in the north part of town."",""Kuzey'de açıklamanızla eşleşen birçok restoran var, ne tür mutfaklarla ilgileniyorsunuz?"",""Restoran Asya oryantal yemekleri servis etmelidir."",""169 cadde chesterton chesterton üzerinde saigon city denilen bir restoran var. Senin için rezervasyon yaptırmamı ister misin?"",""Evet, Cumartesi günü 19: 45'te 8 kişilik bir masa rezervasyonu yapmak istiyorum ve referans numarasını da alabilir miyim?"",""Rezervasyon yapıldı ve referans numarası 3P2ALRY0."",""Yardımınız için teşekkür ederim."",""Rica ederim.""]}";
"{""id"":""SNG0732.json"",""log"":[""Merhaba şehir merkezinde ucuz bir restoran bulmama yardım eder misin?"",""Kesinlikle yapabilirim. Şehrin merkezinde 15 ucuz restoran var. İstediğiniz belirli bir mutfak türü var mı?"",""Erkek arkadaşım İskoç yemeklerini çok seviyor. Uygun yer var mı?"",""Bu kriterlere uyan herhangi bir İskoç yeri yok, başka bir yemek deneyebilir miyiz?"",""Of, bu çok kötü. Peki bir İtalyan restoranı var mı?\n"",""Zizzi cambridge, merkez bölgede ucuz bir İtalyan restoranıdır. Sizin için rezervasyon yaptırmamı ister misiniz?"",""Evet lütfen. Ayrıca bana adresini, telefon numarasını ve posta kodu verir misin?"",""Tabi ki! Adres 47-53 Regent Street, telefon numarası 01223365599 ve posta kodu cb21ab. Senin için yapabileceğim başka bir şey var mı?"",""6:30'da 2 kişi için rezervasyon istiyorum."",""Bunu sizin için yapmaktan mutluluk duyarım. Masayı hangi gün istersiniz?"",""Aslında fikrimi değiştirdim. O rezervasyon için bekleyeceğim, teşekkürler."",""Tamam. İhtiyacınız olan başka bir şey var mı?"",""Bu kadar, teşekkürler."",""Güle güle teşekkür ederim!""]}";
"{""id"":""WOZ20642.json"",""log"":[""Kuzeyde ucuz bir restoran tavsiye eder misiniz, lütfen?"",""Da Vinci pizzacı kasabanın kuzeyinde ve ucuz fiyat aralığında. Konumlarını ister misiniz?"",""Evet."",""20 Milton Road Chesterton'da bulunuyor."",""Posta kodu nedir?"",""posta kodu CB41JY yardımcı olabileceğim başka bir şey var mı?"",""Hayır, teşekkür ederim, iyi günler"",""Teşekkür ederim.""]}";
"{""id"":""WOZ20583.json"",""log"":[""Merhaba, Batı yakasında iyi Çin yemeği arıyorum."",""Üzgünüm, batı tarafında hiçbir Çin restoranı yok. Başka bir yemek türü veya şehrin farklı bir kısmında ister misiniz?"",""Teşekkür ederim. güle güle"",""Rica ederim, güle güle""]}";
"{""id"":""SNG0502.json"",""log"":[""Selam! Şehrin merkezinde bir deniz ürünleri restoranı bulmak istiyorum, lütfen."",""Mükemmel. Loch fyne sizin için uygun."",""Pahalı bir restoran mı? Gerçekten çok para harcamayı düşünüyorum."",""Evet, pahalı. Rezervasyon için yardıma ihtiyacınız var mı?"",""Mükemmel, evet Pazartesi günü saat 17: 15'te 3 kişilik masa ayırtın. Referans numarası da alabilir miyim?"",""Harika Pazartesi günü için yer buldum ve rezervasyon numaranız E10Z97F4. Hepsi bu mu olacak?"",""Hayır, teşekkür ederim, Hepsi bu kadar."",""Harika. Tatilinizin tadını çıkarın.""]}";
